Name,Public Transit Commute Pct
District of Columbia,47.30
New York,45.20
New Jersey,22.40
Massachusetts,17.30
Illinois,16.60
Maryland,15.50
Hawaii,12.80
Connecticut,11.90
Washington,11.80
Pennsylvania,10.10
California,9.60
Oregon,9.00
Nevada,8.60
Virginia,8.20
Minnesota,6.40
Rhode Island,6.20
Colorado,6.00
Utah,5.60
Delaware,5.60
Georgia,4.10
Arizona,4.10
Florida,3.90
Puerto Rico,3.70
Wisconsin,3.40
Alaska,3.40
Ohio,3.10
Missouri,3.00
Texas,2.90
Michigan,2.70
New Mexico,2.30
Louisiana,2.30
Vermont,2.10
Indiana,2.10
Idaho,2.00
New Hampshire,1.90
North Carolina,1.90
Kentucky,1.90
Iowa,1.80
Montana,1.50
West Virginia,1.50
Nebraska,1.30
Tennessee,1.30
Maine,1.20
South Dakota,1.00
Kansas,0.90
South Carolina,0.90
Oklahoma,0.80
North Dakota,0.80
Alabama,0.70
Arkansas,0.60
Mississippi,0.60
Wyoming,0.00
